loan_number,condition,depth
AR-L1009,(a) Integración del BAPIN con el SIDIF:  que se ha aprobado el Programa de Acciones a desarrollar en el año 2006 para avanzar hacia la integración del sistema de Banco de Proyectos de Inversión Pública (BAPIN) con el Sistema Integrado de Inform,Low
AR-L1009,(b) Herramientas para la medición y evaluación de los resultados de los proyectos de inversión: que se han aprobado los términos de referencia para el diseño de la metodología de análisis de resultados  e impactos para el Plan Nacional de Inver,Low
AR-L1009,(c) Cobertura y coordinación de las inversiones públicas en las provincias por medio de la extensión del BAPIN: que 23 jurisdicciones han suscripto convenios con la Dirección Nacional de Inversión Pública (DNIP) para la instalación del sistema,Low
AR-L1009,"(c) Modernización del Sistema de Gestión Financiera (SIDIF): y se han presentado informes sobre la realización de al menos 3 preauditorías de Nivel D, C y B por parte del Instituto Argentino de Normalización y Certificación (IRAM) ",Low
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): (Informe )y de las principales áreas en déficit (observaciones o no conformidades) según las 3 preauditorías realizadas;,Low
AR-L1009,(d) Consolidación de la Normativa Presupuestaria y de Gestión Financiera: que se ha presentado el Decreto con un nuevo Texto Ordenado correspondiente a la Ley N° 11.672,Low
AR-L1009,(d) Consolidación de la Normativa Presupuestaria y de Gestión Financiera: y un anteproyecto de Decreto Reglamentario de la Ley 24.156;,Low
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: que: (i) se ha presentado un informe sobre la selección de las 5 Jurisdicciones, Subjurisdicciones, o Entidades (entre las 5 entidades deberán incluirse",Low
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: (Informe) sobre la selección de los indicadores, las metas de resultado ",Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: (Informe sobre) el sistema de seguimiento de los indicadores de resultado a ser utilizado;,Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: se ha presentado una propuesta de nueva circular de presupuesto plurianual,Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y un informe comparado con la normativa anterior que fortalezca los instrumentos y metodología del Presupuesto Plurianual;,Low
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y se ha elaborado una propuesta de nueva normativa de Presupuesto Preliminar, incluyendo una propuesta de  nuevo manual de Presupuesto Preliminar ",Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y un informe comparativo con la circular anterior;,Low
AR-L1009,(b) Integración de fondos y organismos al Presupuesto Nacional de acuerdo al Régimen Federal de Responsabilidad Fiscal: que se ha presentado: (i) el listado actualizado de los organismos y fondos fiduciarios que deban ser integrados al Proyecto,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: que: (i) se han presentado informes sobre el cálculo de los cupones ligados al crecimiento del PBI a pa,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en el Presupuesto de 2006 la previsión presupuestaria destinada al pago de los cupone,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: y se ha incorporado en las proyecciones del Presupuesto plurianual los estimativos de los cupones a pag,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: que: (i) se han presentado informes sobre  sobre el monto estimado de recompra de deuda en el año 2006;,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: se ha incorporado en el Presupuesto de 2006 la previsión presupuestaria destinada a la recompra de deud,Low
AR-L1009,(a) Desarrollo y consolidación de los procedimientos de registro y de atención de los servicios de los nuevos instrumentos de deuda pública: y se ha incorporado en las proyecciones del Presupuesto plurianual los estimativos los estimativos de l,Low
AR-L1009,(b) Actualización de criterios y estrategias de la política de financiamiento del Estado: que se ha presentado una cuantificación de las necesidades de financiamiento del Gobierno Nacional para el período 2006-2008;,Low
AR-L1009,(c ) Mejora de los Sistemas de Información sobre la Deuda Pública para adecuarlas a las exigencias de la Ley de Responsabilidad Fiscal y a las nuevas modalidades de endeudamiento: que se ha presentado un informe sobre los problemas y necesidade,Low
AR-L1009,(c ) Mejora de los Sistemas de Información sobre la Deuda Pública para adecuarlas a las exigencias de la Ley de Responsabilidad Fiscal y a las nuevas modalidades de endeudamiento: un Plan de Trabajo para la depuración y fortalecimiento de la in,Low
AR-L1009,"(b) Integración de fondos y organismos al Presupuesto Nacional de acuerdo al Régimen Federal de Responsabilidad Fiscal: un informe con las normas a considerar para permitir la incorporación de los organismos y fondos al Presupuesto, clasificada",Low
AR-L1009,"(c) Modernización del Sistema de Gestión Financiera (SIDIF): que: (i) se ha instalado el Sistema Local Unificado (SLU) en 15 nuevas entidades, ",Medium
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): y aprobado un cronograma y listado de las 10 instalaciones a realizar en 2006;,Low
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): se ha presentado un informe técnico con el desarrollo del modelo conceptual del SIDIF Internet Integral;,Low
AR-L1009,(d) Generación de Información sobre Contingencias Fiscales y Pasivos Contingentes: que se han presentado los términos de referencia de un Estudio orientado a identificar las principales causas y el impacto que han tenido las contingencias fisca,Low
AR-L1009,(a) Integración del BAPIN con el SIDIF:  que se han cumplido sustancialmente los avances previstos en el Programa de Acciones aprobado en cumplimiento de la condición establecida en el literal (a) de la Cláusula 3.04 del presente Contrato;,Low
AR-L1009,(b) Herramientas para la medición y evaluación de los resultados de los proyectos de inversión: que se han aprobado los informes conteniendo el diseño detallado de la metodología y su implantación y,Low
AR-L1009,"(b) Herramientas para la medición y evaluación de los resultados de los proyectos de inversión: que se han aprobado los informes conteniendo los resultados obtenidos hasta la solicitud del segundo tramo del Financiamiento, utilizando la metodol",Low
AR-L1009,(c) Cobertura y coordinación de las inversiones públicas en las provincias por medio de la extensión del BAPIN: que al menos 18 jurisdicciones cuentan con el sistema BAPIN instalado y personal capacitado para operarlo;,Medium
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): y (informe) (d)el desarrollo del modelo conceptual del Módulo de Presupuesto;,Low
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): la auditoria final de la certificación IRAM International Organization for Standardization (ISO) 9001:2000;,Medium
AR-L1009,(c) Modernización del Sistema de Gestión Financiera (SIDIF): y un informe con propuestas de medidas de política en el área de resguardo de documentos de la administración financiera;,Low
AR-L1009,(d) Consolidación de la Normativa Presupuestaria y de Gestión: que: (i) los Decretos a que se refiere el inciso (g) de la Cláusula 3.04 de estas Estipulaciones Especiales estarán en vigencia para la Ley de Presupuesto Nacional de 2007; (Decreto,Low
AR-L1009,(d) Consolidación de la Normativa Presupuestaria y de Gestión: y (ii) se ha presentado un informe con propuestas sobre los mecanismos para la actualización permanente del Decreto de texto ordenado de la Ley 11.672;,Low
AR-L1009," (d) Consolidación de la Normativa Presupuestaria y de Gestión: Decreto Reglamentario de la Ley de Administración Financiera (24.156) elaborado por la Subsecretaria de Presupuesto, vigente para aplicación del proyecto de ley de presupuesto 2007",Medium
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: que se han presentado: (i) los indicadores de resultados para las 5 Jurisdicciones, Subjurisdicciones o Entidades seleccionadas en cumplimiento del inci",Low
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: un informe sobre la metodología de evaluación y seguimiento de los indicadores, ",Low
AR-L1009,(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados: y sobre la difusión de los indicadores de resultado incluidos en el Proyecto de Ley de Presupuesto 2007;,Low
AR-L1009,"(a) Fortalecimientos de la administración financiera orientada a la gestión por resultados:  un informe sobre las formas de incorporación de los indicadores a todo el ciclo del proceso presupuestario, ",Low
